Round,Accuracy (%),Epsilon Acumulado,ASR
1,59.08,1.0,0.579
2,77.59,1.8,0.3946
3,77.4,2.4000000000000004,0.3403
4,78.75,2.9000000000000004,0.3594
5,80.27,3.4000000000000004,0.405
6,81.83,3.9000000000000004,0.4325
7,82.65,4.4,0.486
8,82.86,4.9,0.5012
9,83.8,6.4,0.544
10,84.26,7.7,0.5896
11,84.61,8.8,0.6446
12,85.0,9.700000000000001,0.6922
13,85.31,10.400000000000002,0.7609
14,85.53,10.900000000000002,0.807
15,85.9,12.400000000000002,0.8382
16,86.06,13.700000000000003,0.8637
17,86.48,14.800000000000002,0.8841
18,86.59,15.700000000000003,0.9075
19,86.75,16.400000000000002,0.9187
20,86.88,16.900000000000002,0.9282
21,87.0,17.400000000000002,0.9421
22,87.05000000000001,18.900000000000002,0.9511
23,87.22,20.200000000000003,0.9597
24,87.37,21.300000000000004,0.9656
25,87.6,22.200000000000003,0.9698
26,87.62,22.900000000000002,0.9727
27,87.81,24.6,0.9782
28,87.94999999999999,26.1,0.9805
29,87.97,27.400000000000002,0.9831
30,88.03999999999999,28.500000000000004,0.9849
31,88.09,29.400000000000006,0.9863
32,88.21,30.100000000000005,0.989
33,88.29,31.800000000000004,0.9899
34,88.39,33.300000000000004,0.9909
35,88.5,34.6,0.9916
36,88.59,35.7,0.9937
37,88.66000000000001,36.6,0.9936
38,88.79,37.300000000000004,0.9937
39,88.83,37.800000000000004,0.9938
40,88.99000000000001,38.300000000000004,0.9945
41,88.92,39.800000000000004,0.9956
42,89.05,41.1,0.9956
43,89.14999999999999,42.2,0.996
44,89.2,43.1,0.996
45,89.16,43.800000000000004,0.9957
46,89.33,45.50000000000001,0.9963
47,89.42,47.00000000000001,0.9966
48,89.38000000000001,48.300000000000004,0.9968
49,89.33,49.400000000000006,0.9971
50,89.48,50.300000000000004,0.9972
51,89.38000000000001,51.00000000000001,0.9973
52,89.36,52.70000000000001,0.9973
53,89.38000000000001,54.20000000000001,0.9981
54,89.44,55.50000000000001,0.9984
55,89.53,56.60000000000001,0.9983
56,89.49000000000001,57.50000000000001,0.9984
57,89.55,58.20000000000001,0.998
58,89.59,58.70000000000001,0.9983
59,89.51,59.20000000000001,0.9983
60,89.67,60.70000000000001,0.9983
61,89.82,62.00000000000001,0.9982
62,89.84,63.10000000000001,0.9985
63,89.82,64.00000000000001,0.9986
64,89.8,64.70000000000002,0.9984
65,89.83,66.40000000000002,0.9982
66,89.91,67.90000000000002,0.9986
67,89.98,69.20000000000002,0.9986
68,89.92,70.30000000000001,0.9984
69,90.06,71.20000000000002,0.9985
70,90.0,71.90000000000002,0.9987
71,89.98,72.40000000000002,0.9988
72,90.08,73.90000000000002,0.9988
73,90.10000000000001,75.20000000000002,0.9986
74,90.11,76.30000000000001,0.9986
75,90.19,77.20000000000002,0.9988
76,90.09,77.90000000000002,0.9988
77,90.14999999999999,79.60000000000002,0.9987
78,90.14,81.10000000000002,0.9987
79,90.32,82.40000000000002,0.9988
80,90.11,83.50000000000001,0.9989
81,90.24,84.40000000000002,0.999
82,90.18,85.10000000000002,0.999
83,90.14999999999999,85.60000000000002,0.9992
84,90.13,86.10000000000002,0.9989
85,90.14,86.60000000000002,0.999
86,90.16999999999999,88.10000000000002,0.9991
87,90.29,89.40000000000002,0.9989
88,90.16,90.50000000000001,0.9989
89,90.23,91.40000000000002,0.9988
90,90.24,92.10000000000002,0.9988
91,90.29,92.60000000000002,0.999
92,90.31,94.10000000000002,0.9991
93,90.28,95.40000000000002,0.9989
94,90.42999999999999,96.50000000000001,0.999
95,90.39,97.40000000000002,0.9991
96,90.42999999999999,98.10000000000002,0.999
97,90.42,98.80000000000003,0.999
98,90.42999999999999,99.10000000000003,0.999
99,90.53999999999999,99.60000000000003,0.9991
100,90.56,100,0.9991
