Round,Accuracy (%),Epsilon Acumulado,ASR
1,62.9,1.0,0.041
2,75.27000000000001,1.8,0.2307
3,77.53999999999999,2.4000000000000004,0.2495
4,79.92,2.9000000000000004,0.2808
5,81.21000000000001,3.4000000000000004,0.2956
6,81.52000000000001,3.9000000000000004,0.3103
7,82.27,4.4,0.3346
8,83.06,5.9,0.3588
9,83.5,7.2,0.3914
10,83.98,8.3,0.4196
11,84.48,9.200000000000001,0.458
12,84.75,9.900000000000002,0.4919
13,85.28999999999999,10.400000000000002,0.5317
14,85.38,10.900000000000002,0.5856
15,85.63,11.400000000000002,0.6143
16,86.11999999999999,11.900000000000002,0.6395
17,86.38,12.400000000000002,0.6616
18,86.47,12.900000000000002,0.6905
19,87.0,14.400000000000002,0.7235
20,87.17,15.700000000000003,0.7638
21,87.28,16.800000000000004,0.7982
22,87.5,17.700000000000003,0.8291
23,87.6,18.400000000000002,0.8516
24,87.75,18.900000000000002,0.8821
25,87.92,19.400000000000002,0.9068
26,88.03,20.900000000000002,0.9169
27,88.2,22.200000000000003,0.9274
28,88.26,23.300000000000004,0.9381
29,88.35,24.200000000000003,0.9477
30,88.44,24.900000000000002,0.953
31,88.46000000000001,26.6,0.9571
32,88.53999999999999,28.1,0.9613
33,88.79,29.400000000000002,0.9651
34,88.9,30.500000000000004,0.969
35,88.99000000000001,31.400000000000006,0.9765
36,89.02,32.10000000000001,0.9753
37,88.66000000000001,32.60000000000001,0.9756
38,88.82,34.10000000000001,0.9763
39,89.02,35.400000000000006,0.9785
40,89.05,36.50000000000001,0.9811
41,89.03,37.400000000000006,0.9811
42,89.2,38.10000000000001,0.9805
43,89.37,38.60000000000001,0.9802
44,89.3,40.10000000000001,0.9824
45,89.25,41.400000000000006,0.984
46,89.36,42.50000000000001,0.9861
47,89.52,43.400000000000006,0.9869
48,89.49000000000001,44.10000000000001,0.9877
49,89.55,44.60000000000001,0.9893
50,89.35,45.10000000000001,0.9873
51,89.48,46.60000000000001,0.989
52,89.55,47.900000000000006,0.99
53,89.61,49.00000000000001,0.9894
54,89.84,49.900000000000006,0.9903
55,89.84,50.60000000000001,0.9903
56,89.8,52.30000000000001,0.9904
57,89.97,53.80000000000001,0.9907
58,89.95,55.10000000000001,0.99
59,90.03,56.20000000000001,0.9913
60,89.91,57.10000000000001,0.9926
61,89.98,57.80000000000001,0.992
62,89.99000000000001,58.30000000000001,0.9915
63,90.03999999999999,59.80000000000001,0.9929
64,90.01,61.10000000000001,0.9931
65,90.12,62.20000000000001,0.9935
66,90.16,63.10000000000001,0.9931
67,90.12,63.80000000000001,0.994
68,90.10000000000001,64.30000000000001,0.9954
69,90.2,65.80000000000001,0.9959
70,90.28,67.10000000000001,0.9959
71,90.25,68.2,0.9953
72,90.35,69.10000000000001,0.9947
73,90.3,69.80000000000001,0.9961
74,90.22,70.30000000000001,0.9954
75,90.28,71.80000000000001,0.9959
76,90.35,73.10000000000001,0.996
77,90.47,74.2,0.9963
78,90.49000000000001,75.10000000000001,0.9962
79,90.42,75.80000000000001,0.9957
80,90.45,77.50000000000001,0.9957
81,90.48,79.00000000000001,0.9958
82,90.55,80.30000000000001,0.9962
83,90.39,81.4,0.9964
84,90.46,82.30000000000001,0.9966
85,90.46,83.00000000000001,0.9961
86,90.46,83.50000000000001,0.9971
87,90.36999999999999,84.00000000000001,0.9969
88,90.4,85.50000000000001,0.9969
89,90.42999999999999,86.80000000000001,0.9969
90,90.45,87.9,0.997
91,90.57,88.80000000000001,0.9968
92,90.68,89.50000000000001,0.9971
93,90.64999999999999,90.00000000000001,0.9965
94,90.63,91.50000000000001,0.9968
95,90.64999999999999,92.80000000000001,0.997
96,90.64999999999999,93.9,0.9972
97,90.77,94.80000000000001,0.9974
98,90.67,95.50000000000001,0.9974
99,90.75,96.00000000000001,0.9974
100,90.72,96.50000000000001,0.9973
