Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,2.0
3,10.0,3.0
4,10.0,4.0
5,10.0,5.0
6,10.0,6.0
7,10.0,7.0
8,10.68,8.0
9,10.03,9.0
10,12.370000000000001,10.0
11,14.63,11.0
12,15.68,12.0
13,14.09,13.0
14,14.93,14.0
15,14.37,15.0
16,16.12,16.0
17,18.84,17.0
18,21.09,18.0
19,22.06,19.0
20,24.43,20.0
21,25.900000000000002,21.0
22,25.130000000000003,22.0
23,26.400000000000002,23.0
24,26.150000000000002,24.0
25,26.810000000000002,25.0
26,28.18,26.0
27,29.049999999999997,27.0
28,29.39,28.0
29,30.990000000000002,29.0
30,31.61,30.0
31,32.68,31.0
32,33.040000000000006,32.0
33,34.29,33.0
34,34.64,34.0
35,35.730000000000004,35.0
36,35.72,36.0
37,36.18,37.0
38,37.35,38.0
39,37.44,39.0
40,38.24,40.0
41,37.99,41.0
42,38.29,42.0
43,39.5,43.0
44,40.99,44.0
45,41.449999999999996,45.0
46,42.92,46.0
47,43.919999999999995,47.0
48,44.769999999999996,48.0
49,44.32,49.0
50,44.800000000000004,50.0
51,44.86,51.0
52,45.410000000000004,52.0
53,46.150000000000006,53.0
54,46.06,54.0
55,46.7,55.0
56,47.49,56.0
57,47.71,57.0
58,48.6,58.0
59,49.38,59.0
60,49.769999999999996,60.0
61,50.339999999999996,61.0
62,50.32,62.0
63,50.79,63.0
64,51.459999999999994,64.0
65,51.61,65.0
66,52.26,66.0
67,52.23,67.0
68,53.190000000000005,68.0
69,53.42,69.0
70,53.910000000000004,70.0
71,54.2,71.0
72,54.75,72.0
73,55.48,73.0
74,56.06,74.0
75,56.03,75.0
76,56.2,76.0
77,56.769999999999996,77.0
78,56.76,78.0
79,56.779999999999994,79.0
80,57.14,80.0
81,57.4,81.0
82,57.85,82.0
83,57.58,83.0
84,57.940000000000005,84.0
85,58.230000000000004,85.0
86,58.17,86.0
87,58.36,87.0
88,58.919999999999995,88.0
89,58.9,89.0
90,59.36,90.0
91,59.39,91.0
92,59.67,92.0
93,59.9,93.0
94,59.88,94.0
95,59.81999999999999,95.0
96,60.28,96.0
97,60.25,97.0
98,61.11,98.0
99,60.95,99.0
100,60.88,100.0
