Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,2.0
3,10.0,3.0
4,10.0,4.0
5,10.0,5.0
6,10.0,6.0
7,10.0,7.0
8,10.0,8.0
9,10.0,9.0
10,15.22,10.0
11,15.09,11.0
12,14.280000000000001,12.0
13,12.790000000000001,13.0
14,13.4,14.0
15,14.09,15.0
16,13.930000000000001,16.0
17,14.549999999999999,17.0
18,15.010000000000002,18.0
19,16.259999999999998,19.0
20,15.78,20.0
21,16.39,21.0
22,16.71,22.0
23,17.31,23.0
24,18.26,24.0
25,18.37,25.0
26,18.63,26.0
27,20.560000000000002,27.0
28,21.62,28.0
29,21.88,29.0
30,23.380000000000003,30.0
31,25.47,31.0
32,25.729999999999997,32.0
33,24.62,33.0
34,26.57,34.0
35,26.75,35.0
36,27.07,36.0
37,26.85,37.0
38,27.77,38.0
39,30.37,39.0
40,31.66,40.0
41,32.59,41.0
42,32.9,42.0
43,33.35,43.0
44,33.4,44.0
45,34.81,45.0
46,35.27,46.0
47,35.44,47.0
48,36.52,48.0
49,36.449999999999996,49.0
50,36.91,50.0
51,35.49,51.0
52,36.18,52.0
53,35.79,53.0
54,37.04,54.0
55,38.12,55.0
56,38.73,56.0
57,38.99,57.0
58,37.830000000000005,58.0
59,38.4,59.0
60,38.36,60.0
61,38.4,61.0
62,39.33,62.0
63,38.550000000000004,63.0
64,39.550000000000004,64.0
65,38.629999999999995,65.0
66,38.5,66.0
67,39.160000000000004,67.0
68,40.2,68.0
69,39.47,69.0
70,40.31,70.0
71,40.400000000000006,71.0
72,41.06,72.0
73,41.97,73.0
74,43.21,74.0
75,43.01,75.0
76,44.85,76.0
77,45.29,77.0
78,44.230000000000004,78.0
79,44.080000000000005,79.0
80,44.25,80.0
81,44.440000000000005,81.0
82,45.29,82.0
83,45.68,83.0
84,46.650000000000006,84.0
85,47.29,85.0
86,47.21,86.0
87,47.910000000000004,87.0
88,47.72,88.0
89,47.82,89.0
90,48.06,90.0
91,47.56,91.0
92,48.55,92.0
93,49.47,93.0
94,49.64,94.0
95,49.36,95.0
96,49.64,96.0
97,50.44,97.0
98,50.629999999999995,98.0
99,50.0,99.0
100,50.54,100.0
