Round,Accuracy (%),Epsilon Acumulado,ASR
1,58.709999999999994,1.0,0.0764
2,76.22,2.0,0.1608
3,78.78,3.0,0.1633
4,80.05,4.0,0.1837
5,80.71000000000001,5.0,0.1973
6,82.09,6.0,0.2209
7,82.63000000000001,7.0,0.2344
8,83.24000000000001,8.0,0.2459
9,83.76,9.0,0.2636
10,84.2,10.0,0.2694
11,84.68,11.0,0.2775
12,85.09,12.0,0.2921
13,85.49,13.0,0.3072
14,85.63,14.0,0.3238
15,85.99,15.0,0.3345
16,86.35000000000001,16.0,0.3459
17,86.56,17.0,0.3609
18,86.8,18.0,0.3764
19,86.89,19.0,0.4048
20,87.01,20.0,0.4252
21,87.15,21.0,0.4485
22,87.5,22.0,0.4674
23,87.49,23.0,0.4876
24,87.62,24.0,0.517
25,87.69,25.0,0.5262
26,87.85,26.0,0.5485
27,87.9,27.0,0.5864
28,87.99,28.0,0.61
29,88.23,29.0,0.6478
30,88.31,30.0,0.6617
31,88.23,31.0,0.6818
32,88.3,32.0,0.7157
33,88.49000000000001,33.0,0.7326
34,88.47,34.0,0.7537
35,88.61,35.0,0.7737
36,88.73,36.0,0.7868
37,88.8,37.0,0.8043
38,88.88000000000001,38.0,0.8282
39,88.94999999999999,39.0,0.8394
40,88.91,40.0,0.8502
41,89.03,41.0,0.8661
42,89.03,42.0,0.8743
43,88.97,43.0,0.8755
44,89.09,44.0,0.8776
45,89.14,45.0,0.8873
46,89.24,46.0,0.8998
47,89.32,47.0,0.9019
48,89.23,48.0,0.9089
49,89.28,49.0,0.9141
50,89.33,50.0,0.9181
51,89.36,51.0,0.918
52,89.45,52.0,0.9286
53,89.45,53.0,0.931
54,89.53999999999999,54.0,0.9352
55,89.58,55.0,0.9381
56,89.62,56.0,0.9438
57,89.68,57.0,0.9468
58,89.52,58.0,0.9486
59,89.66,59.0,0.9495
60,89.77000000000001,60.0,0.9554
61,89.81,61.0,0.9598
62,89.84,62.0,0.9607
63,89.89,63.0,0.9669
64,89.87,64.0,0.9692
65,89.96,65.0,0.9684
66,89.98,66.0,0.9703
67,90.10000000000001,67.0,0.9731
68,90.08,68.0,0.9753
69,89.99000000000001,69.0,0.9732
70,90.0,70.0,0.9703
71,90.06,71.0,0.9739
72,90.08,72.0,0.9756
73,90.13,73.0,0.9762
74,90.25999999999999,74.0,0.9785
75,90.16999999999999,75.0,0.9798
76,90.2,76.0,0.981
77,90.3,77.0,0.9814
78,90.46,78.0,0.9805
79,90.35,79.0,0.9832
80,90.33,80.0,0.9837
81,90.38000000000001,81.0,0.985
82,90.35,82.0,0.9878
83,90.51,83.0,0.9877
84,90.35,84.0,0.9877
85,90.4,85.0,0.9891
86,90.5,86.0,0.9891
87,90.61,87.0,0.9888
88,90.52,88.0,0.9893
89,90.59,89.0,0.9903
90,90.57,90.0,0.9908
91,90.53,91.0,0.991
92,90.66,92.0,0.9904
93,90.69,93.0,0.9907
94,90.62,94.0,0.99
95,90.61,95.0,0.9904
96,90.68,96.0,0.9904
97,90.75,97.0,0.9913
98,90.75999999999999,98.0,0.9919
99,90.77,99.0,0.9919
100,90.73,100.0,0.9925
