Round,Accuracy (%),Epsilon Acumulado,ASR
1,64.63,1.0,0.3481
2,76.48,2.0,0.3144
3,78.03999999999999,3.0,0.3463
4,78.24,4.0,0.3552
5,79.47999999999999,5.0,0.3977
6,80.7,6.0,0.4294
7,81.39,7.0,0.4679
8,82.58,8.0,0.5174
9,83.42,9.0,0.5657
10,84.04,10.0,0.6151
11,84.72,11.0,0.6678
12,85.15,12.0,0.7251
13,85.53,13.0,0.7625
14,85.8,14.0,0.7906
15,86.02,15.0,0.8428
16,86.24000000000001,16.0,0.874
17,86.71,17.0,0.9009
18,86.89,18.0,0.9169
19,87.13,19.0,0.9328
20,87.08,20.0,0.9448
21,87.25,21.0,0.9568
22,87.44,22.0,0.97
23,87.55,23.0,0.9741
24,87.6,24.0,0.9789
25,87.67,25.0,0.9803
26,87.7,26.0,0.9842
27,88.03999999999999,27.0,0.9842
28,88.0,28.0,0.9854
29,88.21,29.0,0.9864
30,88.36,30.0,0.9886
31,88.46000000000001,31.0,0.9901
32,88.55,32.0,0.9906
33,88.61,33.0,0.9916
34,88.6,34.0,0.9922
35,88.79,35.0,0.9922
36,88.74,36.0,0.9931
37,88.86,37.0,0.9941
38,88.96,38.0,0.9944
39,88.89,39.0,0.9944
40,88.97,40.0,0.995
41,89.03,41.0,0.9946
42,89.13,42.0,0.9952
43,89.23,43.0,0.9954
44,89.2,44.0,0.996
45,89.33,45.0,0.9965
46,89.4,46.0,0.9968
47,89.44,47.0,0.9971
48,89.45,48.0,0.9973
49,89.52,49.0,0.9972
50,89.52,50.0,0.9973
51,89.52,51.0,0.9972
52,89.52,52.0,0.9974
53,89.53999999999999,53.0,0.9977
54,89.53999999999999,54.0,0.9979
55,89.63,55.0,0.9978
56,89.64999999999999,56.0,0.9978
57,89.75999999999999,57.0,0.9982
58,89.8,58.0,0.998
59,89.72,59.0,0.998
60,89.82,60.0,0.9978
61,89.9,61.0,0.9978
62,89.83,62.0,0.9982
63,89.99000000000001,63.0,0.9983
64,90.0,64.0,0.9985
65,90.01,65.0,0.9985
66,90.05,66.0,0.9986
67,89.94,67.0,0.9987
68,90.10000000000001,68.0,0.9988
69,90.25,69.0,0.9987
70,90.27,70.0,0.999
71,90.36,71.0,0.9991
72,90.41,72.0,0.999
73,90.41,73.0,0.9991
74,90.55,74.0,0.9989
75,90.48,75.0,0.9989
76,90.5,76.0,0.999
77,90.48,77.0,0.9991
78,90.41,78.0,0.9992
79,90.44,79.0,0.9992
80,90.5,80.0,0.9992
81,90.60000000000001,81.0,0.9993
82,90.58,82.0,0.9993
83,90.52,83.0,0.9993
84,90.51,84.0,0.9992
85,90.51,85.0,0.9992
86,90.5,86.0,0.9993
87,90.57,87.0,0.9992
88,90.60000000000001,88.0,0.9992
89,90.62,89.0,0.9992
90,90.73,90.0,0.9992
91,90.66,91.0,0.9991
92,90.60000000000001,92.0,0.9991
93,90.71000000000001,93.0,0.9992
94,90.78,94.0,0.9992
95,90.73,95.0,0.9991
96,90.72,96.0,0.9992
97,90.57,97.0,0.9992
98,90.59,98.0,0.9991
99,90.64999999999999,99.0,0.999
100,90.71000000000001,100.0,0.9989
