Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,1.8
3,10.0,2.4000000000000004
4,10.0,2.9000000000000004
5,10.0,3.4000000000000004
6,10.0,3.9000000000000004
7,10.0,5.4
8,10.0,6.7
9,10.0,7.800000000000001
10,10.0,8.700000000000001
11,10.36,9.400000000000002
12,11.62,9.900000000000002
13,13.76,10.400000000000002
14,16.939999999999998,10.900000000000002
15,19.82,11.400000000000002
16,19.46,11.900000000000002
17,22.11,12.400000000000002
18,22.18,12.900000000000002
19,23.31,14.400000000000002
20,24.52,15.700000000000003
21,25.580000000000002,16.800000000000004
22,25.540000000000003,17.700000000000003
23,25.580000000000002,18.400000000000002
24,24.79,18.900000000000002
25,25.64,19.400000000000002
26,26.56,20.900000000000002
27,27.450000000000003,22.200000000000003
28,27.93,23.300000000000004
29,28.349999999999998,24.200000000000003
30,28.1,24.900000000000002
31,31.509999999999998,25.400000000000002
32,31.5,26.900000000000002
33,32.35,28.200000000000003
34,33.42,29.300000000000004
35,34.5,30.200000000000003
36,36.67,30.900000000000002
37,38.03,31.400000000000002
38,39.290000000000006,32.900000000000006
39,40.83,34.2
40,41.14,35.300000000000004
41,40.6,36.2
42,41.29,36.900000000000006
43,40.64,37.400000000000006
44,40.67,38.900000000000006
45,40.63,40.2
46,41.42,41.300000000000004
47,42.5,42.2
48,43.59,42.900000000000006
49,44.92,43.400000000000006
50,44.36,43.900000000000006
51,44.78,44.400000000000006
52,44.74,45.900000000000006
53,45.14,47.2
54,46.11,48.300000000000004
55,46.379999999999995,49.2
56,46.61,49.900000000000006
57,46.910000000000004,51.60000000000001
58,47.4,53.10000000000001
59,47.97,54.400000000000006
60,47.65,55.50000000000001
61,48.03,56.400000000000006
62,48.0,57.10000000000001
63,49.26,57.60000000000001
64,49.519999999999996,58.10000000000001
65,49.480000000000004,58.60000000000001
66,49.81,60.10000000000001
67,50.339999999999996,61.400000000000006
68,50.660000000000004,62.50000000000001
69,50.71,63.400000000000006
70,50.73,64.10000000000001
71,50.39,65.80000000000001
72,51.17,67.30000000000001
73,51.67,68.60000000000001
74,52.38,69.7
75,52.790000000000006,70.60000000000001
76,52.769999999999996,71.30000000000001
77,53.13,71.80000000000001
78,53.18000000000001,72.30000000000001
79,53.47,73.80000000000001
80,53.790000000000006,75.10000000000001
81,53.65,76.2
82,54.17999999999999,77.10000000000001
83,53.94,77.80000000000001
84,54.76,78.30000000000001
85,55.17999999999999,79.80000000000001
86,55.33,81.10000000000001
87,55.58,82.2
88,55.779999999999994,83.10000000000001
89,56.010000000000005,83.80000000000001
90,56.45,85.50000000000001
91,56.510000000000005,87.00000000000001
92,56.93,88.30000000000001
93,57.43000000000001,89.4
94,57.709999999999994,90.30000000000001
95,57.67,91.00000000000001
96,56.779999999999994,91.50000000000001
97,56.98,93.00000000000001
98,57.709999999999994,94.30000000000001
99,57.879999999999995,95.4
100,58.379999999999995,96.30000000000001
