Round,Accuracy (%),Epsilon Acumulado
1,10.0,1.0
2,10.0,1.8
3,10.0,2.4000000000000004
4,10.0,2.9000000000000004
5,10.0,3.4000000000000004
6,12.5,3.9000000000000004
7,12.17,4.4
8,10.040000000000001,4.9
9,12.23,6.4
10,14.790000000000001,7.7
11,16.24,8.8
12,15.43,9.700000000000001
13,17.7,10.400000000000002
14,17.64,10.900000000000002
15,20.9,12.400000000000002
16,22.79,13.700000000000003
17,26.83,14.800000000000002
18,24.92,15.700000000000003
19,28.43,16.400000000000002
20,27.37,16.900000000000002
21,28.07,17.400000000000002
22,28.78,17.900000000000002
23,30.270000000000003,19.400000000000002
24,31.96,20.700000000000003
25,32.07,21.800000000000004
26,31.97,22.700000000000003
27,33.7,23.400000000000002
28,34.68,23.900000000000002
29,34.19,24.400000000000002
30,35.97,24.900000000000002
31,37.2,25.400000000000002
32,37.85,26.900000000000002
33,38.73,28.200000000000003
34,38.97,29.300000000000004
35,39.22,30.200000000000003
36,39.82,30.900000000000002
37,40.79,31.400000000000002
38,41.08,32.900000000000006
39,41.97,34.2
40,43.03,35.300000000000004
41,43.419999999999995,36.2
42,43.87,36.900000000000006
43,43.51,37.400000000000006
44,43.9,38.900000000000006
45,43.919999999999995,40.2
46,44.7,41.300000000000004
47,45.62,42.2
48,45.739999999999995,42.900000000000006
49,47.349999999999994,43.400000000000006
50,48.209999999999994,44.900000000000006
51,48.8,46.2
52,49.16,47.300000000000004
53,50.22,48.2
54,51.239999999999995,48.900000000000006
55,51.559999999999995,49.400000000000006
56,50.970000000000006,49.900000000000006
57,50.91,51.400000000000006
58,52.32,52.7
59,52.12,53.800000000000004
60,52.800000000000004,54.7
61,52.76,55.400000000000006
62,51.67,55.900000000000006
63,51.68000000000001,56.400000000000006
64,51.77,56.900000000000006
65,52.83,58.400000000000006
66,53.18000000000001,59.7
67,53.56999999999999,60.800000000000004
68,53.65,61.7
69,53.32,62.400000000000006
70,53.32,62.900000000000006
71,53.300000000000004,64.4
72,53.010000000000005,65.7
73,53.290000000000006,66.8
74,53.83,67.7
75,54.449999999999996,68.4
76,54.779999999999994,68.9
77,55.53,70.4
78,55.66,71.7
79,55.69,72.8
80,56.49999999999999,73.7
81,56.66,74.4
82,55.720000000000006,74.9
83,55.85,76.4
84,56.28999999999999,77.7
85,56.54,78.8
86,56.35,79.7
87,57.08,80.4
88,56.830000000000005,80.9
89,56.769999999999996,82.4
90,56.58,83.7
91,57.620000000000005,84.8
92,57.91,85.7
93,58.53,86.4
94,58.57,86.9
95,58.35,87.4
96,56.8,87.9
97,57.07,89.4
98,57.56,90.7
99,58.28,91.8
100,58.57,92.7
