Round,Accuracy (%),Epsilon Acumulado
1,9.31,1.0
2,10.97,1.8
3,19.74,2.4000000000000004
4,19.36,2.9000000000000004
5,22.89,3.4000000000000004
6,24.4,3.9000000000000004
7,23.3,4.4
8,29.2,5.9
9,33.98,7.2
10,34.72,8.3
11,38.53,9.200000000000001
12,38.32,9.900000000000002
13,42.82,10.400000000000002
14,45.53,10.900000000000002
15,46.239999999999995,11.400000000000002
16,50.14999999999999,11.900000000000002
17,50.96000000000001,13.400000000000002
18,52.7,14.700000000000003
19,53.72,15.800000000000002
20,54.32,16.700000000000003
21,54.24,17.400000000000002
22,55.57,17.900000000000002
23,55.71,19.400000000000002
24,55.559999999999995,20.700000000000003
25,55.120000000000005,21.800000000000004
26,55.24,22.700000000000003
27,56.169999999999995,23.400000000000002
28,56.53,23.900000000000002
29,56.53,25.400000000000002
30,56.21000000000001,26.700000000000003
31,56.96,27.800000000000004
32,57.24,28.700000000000006
33,57.599999999999994,29.400000000000006
34,58.3,29.900000000000006
35,58.60999999999999,31.400000000000006
36,59.160000000000004,32.7
37,59.86,33.800000000000004
38,59.9,34.7
39,60.040000000000006,35.400000000000006
40,60.74,35.900000000000006
41,61.150000000000006,37.400000000000006
42,61.46,38.70000000000001
43,62.31,39.80000000000001
44,62.96000000000001,40.70000000000001
45,63.53,41.40000000000001
46,64.14,41.90000000000001
47,64.49000000000001,42.40000000000001
48,64.85,42.90000000000001
49,65.34,44.40000000000001
50,65.69,45.70000000000001
51,66.4,46.80000000000001
52,66.82000000000001,47.70000000000001
53,67.36,48.40000000000001
54,67.67999999999999,48.90000000000001
55,68.02,50.40000000000001
56,68.34,51.70000000000001
57,68.61,52.80000000000001
58,68.82000000000001,53.70000000000001
59,69.23,54.40000000000001
60,69.64,54.90000000000001
61,69.92,56.40000000000001
62,70.5,57.70000000000001
63,70.66,58.80000000000001
64,70.81,59.70000000000001
65,71.0,60.40000000000001
66,71.47,60.90000000000001
67,71.66,61.40000000000001
68,71.98,62.90000000000001
69,72.34,64.20000000000002
70,72.8,65.30000000000001
71,73.14,66.20000000000002
72,73.27,66.90000000000002
73,73.55000000000001,67.40000000000002
74,73.86,68.90000000000002
75,74.17,70.20000000000002
76,74.38,71.30000000000001
77,74.51,72.20000000000002
78,74.79,72.90000000000002
79,74.96000000000001,73.40000000000002
80,75.18,73.90000000000002
81,75.42999999999999,75.40000000000002
82,75.66000000000001,76.70000000000002
83,75.92999999999999,77.80000000000001
84,76.14,78.70000000000002
85,76.32,79.40000000000002
86,76.46,79.90000000000002
87,76.68,80.40000000000002
88,76.84,81.90000000000002
89,77.03999999999999,83.20000000000002
90,77.22,84.30000000000001
91,77.33,85.20000000000002
92,77.53,85.90000000000002
93,77.64999999999999,86.40000000000002
94,77.69,86.90000000000002
95,77.89,88.40000000000002
96,78.12,89.70000000000002
97,78.29,90.80000000000001
98,78.46,91.70000000000002
99,78.71000000000001,92.40000000000002
100,78.88,92.90000000000002
