Round,Accuracy (%),Epsilon Acumulado
1,15.870000000000001,1.0
2,22.14,2.0
3,33.989999999999995,3.0
4,43.09,4.0
5,55.50000000000001,5.0
6,57.03,6.0
7,60.12,7.0
8,59.74,8.0
9,62.25000000000001,9.0
10,63.449999999999996,10.0
11,63.9,11.0
12,64.83,12.0
13,64.97,13.0
14,66.44,14.0
15,67.67,15.0
16,68.44,16.0
17,69.24,17.0
18,69.17,18.0
19,69.17,19.0
20,68.83,20.0
21,68.57,21.0
22,68.16,22.0
23,67.77,23.0
24,67.24,24.0
25,66.46,25.0
26,65.93,26.0
27,65.67,27.0
28,65.69,28.0
29,65.47,29.0
30,65.36999999999999,30.0
31,65.32,31.0
32,65.18,32.0
33,65.21000000000001,33.0
34,65.16999999999999,34.0
35,65.25999999999999,35.0
36,65.32,36.0
37,65.4,37.0
38,65.46,38.0
39,65.69,39.0
40,65.71000000000001,40.0
41,65.94,41.0
42,66.22,42.0
43,66.43,43.0
44,66.58,44.0
45,66.95,45.0
46,67.15,46.0
47,67.47999999999999,47.0
48,67.67,48.0
49,67.83,49.0
50,68.23,50.0
51,68.45,51.0
52,68.89999999999999,52.0
53,69.05,53.0
54,69.36,54.0
55,69.51,55.0
56,69.6,56.0
57,69.87,57.0
58,70.09,58.0
59,70.39,59.0
60,70.49,60.0
61,70.75,61.0
62,71.03,62.0
63,71.33,63.0
64,71.69,64.0
65,71.87,65.0
66,72.06,66.0
67,72.35000000000001,67.0
68,72.57000000000001,68.0
69,72.88,69.0
70,72.98,70.0
71,73.1,71.0
72,73.36,72.0
73,73.63,73.0
74,73.68,74.0
75,73.86,75.0
76,74.18,76.0
77,74.33999999999999,77.0
78,74.53999999999999,78.0
79,74.74,79.0
80,74.98,80.0
81,75.14999999999999,81.0
82,75.3,82.0
83,75.39,83.0
84,75.55,84.0
85,75.71,85.0
86,75.84,86.0
87,75.97,87.0
88,76.18,88.0
89,76.38000000000001,89.0
90,76.53,90.0
91,76.64999999999999,91.0
92,76.75,92.0
93,77.02,93.0
94,77.16,94.0
95,77.38000000000001,95.0
96,77.53999999999999,96.0
97,77.66,97.0
98,77.75,98.0
99,77.91,99.0
100,78.10000000000001,100.0
