Round,Accuracy (%),Epsilon Acumulado
1,13.91,1.0
2,20.45,2.0
3,36.68,3.0
4,53.2,4.0
5,59.4,5.0
6,61.61,6.0
7,60.97,7.0
8,62.09,8.0
9,62.93,9.0
10,65.69,10.0
11,65.01,11.0
12,65.42,12.0
13,67.57,13.0
14,68.51,14.0
15,68.35,15.0
16,68.06,16.0
17,67.49000000000001,17.0
18,66.55,18.0
19,65.99000000000001,19.0
20,65.7,20.0
21,65.2,21.0
22,64.99000000000001,22.0
23,64.61,23.0
24,64.35,24.0
25,64.36,25.0
26,64.29,26.0
27,63.99,27.0
28,63.88,28.0
29,64.1,29.0
30,64.14999999999999,30.0
31,64.38000000000001,31.0
32,64.69,32.0
33,64.92999999999999,33.0
34,64.87,34.0
35,64.92999999999999,35.0
36,65.32,36.0
37,65.62,37.0
38,65.99000000000001,38.0
39,66.42,39.0
40,66.58,40.0
41,66.95,41.0
42,67.23,42.0
43,67.60000000000001,43.0
44,67.84,44.0
45,68.06,45.0
46,68.44,46.0
47,68.67999999999999,47.0
48,68.89,48.0
49,69.06,49.0
50,69.55,50.0
51,69.81,51.0
52,70.19,52.0
53,70.49,53.0
54,70.67999999999999,54.0
55,71.07,55.0
56,71.45,56.0
57,71.81,57.0
58,72.04,58.0
59,72.35000000000001,59.0
60,72.63,60.0
61,72.84,61.0
62,73.05,62.0
63,73.22,63.0
64,73.45,64.0
65,73.74000000000001,65.0
66,74.03999999999999,66.0
67,74.11999999999999,67.0
68,74.22999999999999,68.0
69,74.46000000000001,69.0
70,74.71,70.0
71,74.78,71.0
72,74.99,72.0
73,75.11,73.0
74,75.24,74.0
75,75.47,75.0
76,75.64,76.0
77,75.67,77.0
78,75.92999999999999,78.0
79,75.98,79.0
80,76.21,80.0
81,76.3,81.0
82,76.53,82.0
83,76.69,83.0
84,76.92,84.0
85,77.12,85.0
86,77.12,86.0
87,77.23,87.0
88,77.42999999999999,88.0
89,77.53999999999999,89.0
90,77.60000000000001,90.0
91,77.84,91.0
92,78.03999999999999,92.0
93,78.08,93.0
94,78.2,94.0
95,78.39,95.0
96,78.45,96.0
97,78.51,97.0
98,78.62,98.0
99,78.7,99.0
100,78.86999999999999,100.0
